,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,Baruun-Urt,0,MN,90,46.68,113.28,-3.95,9.62
1,Coquimbo,75,CL,77,-29.95,-71.34,62.6,11.41
2,Barrow,75,US,77,71.29,-156.79,6.8,10.29
3,Kodiak,20,US,59,57.79,-152.41,36.36,13.87
4,Rio Grande,0,BR,57,-32.03,-52.1,75.33,13.87
5,Champerico,20,GT,46,14.3,-91.92,91.4,9.17
6,Upernavik,100,GL,89,72.79,-56.15,-6.03,7.9
7,Gawler,0,AU,47,-34.6,138.73,82.27,4.7
8,Bluff,26,NZ,59,-46.6,168.33,63.0,1.99
9,Butaritari,100,KI,83,3.07,172.79,82.22,17.07
10,Punta Arenas,75,CL,59,-53.15,-70.92,60.91,17.22
11,Bredasdorp,96,ZA,83,-34.53,20.04,73.99,7.0
12,Viedma,33,AR,50,-40.81,-63.0,69.26,13.73
13,Atuona,9,PF,76,-9.8,-139.03,81.84,15.28
14,Yerbogachen,98,RU,98,61.28,108.01,-10.86,6.33
15,Maniitsoq,66,GL,79,65.42,-52.9,8.4,11.1
16,Alice Springs,5,AU,11,-23.7,133.88,89.6,10.29
17,Noormarkku,20,FI,90,61.59,21.87,35.6,12.75
18,Ushuaia,90,AR,87,-54.8,-68.3,53.6,12.75
19,Esperance,90,AU,82,-33.87,121.9,66.2,5.82
20,Chichimila,8,MX,78,20.62,-88.22,76.21,3.4
21,Mataura,21,NZ,59,-46.19,168.86,63.0,1.99
22,Busselton,0,AU,40,-33.65,115.33,63.86,13.24
23,Malabo,20,GQ,94,3.75,8.78,78.8,5.82
24,Albany,90,US,80,42.6,-73.97,36.05,5.82
25,Atar,13,MR,27,20.52,-13.05,56.44,12.1
26,Grass Valley,90,US,93,39.22,-121.06,47.26,9.17
27,Fare,67,PF,78,-16.7,-151.02,80.47,19.28
28,Norman Wells,5,CA,75,65.28,-126.83,-18.4,9.17
29,Loralai,20,PK,54,30.37,68.6,29.37,4.25
30,Rikitea,0,PF,80,-23.12,-134.97,78.04,10.09
31,Kavieng,100,PG,81,-2.57,150.8,82.76,26.17
32,Dunedin,2,NZ,65,-45.87,170.5,60.01,15.99
33,Georgiyevka,90,KZ,92,43.04,74.71,23.0,2.24
34,Tahta,34,EG,43,26.77,31.5,51.78,6.93
35,Xining,76,CN,72,36.62,101.77,12.7,5.91
36,Salalah,0,OM,25,17.02,54.09,66.2,8.05
37,Hithadhoo,100,MV,72,-0.6,73.08,82.17,9.84
38,Saskylakh,0,RU,91,71.92,114.08,-12.05,9.26
39,Road Town,40,VG,74,18.42,-64.62,77.94,14.99
40,Vagur,100,FO,87,61.47,-6.81,42.62,37.83
41,Arraial do Cabo,90,BR,94,-22.97,-42.03,77.0,6.93
42,Chumikan,0,RU,82,54.72,135.31,-10.3,5.99
43,Kumul,100,CN,42,42.8,93.45,20.88,3.15
44,Moree,0,AU,41,-29.47,149.85,78.6,8.05
45,Tasiilaq,100,GL,45,65.61,-37.64,24.8,13.87
46,Carnarvon,81,AU,78,-24.87,113.63,79.97,5.26
47,Codrington,0,AU,83,-38.27,141.97,63.72,11.59
48,Constitucion,37,CL,89,-35.33,-72.42,57.6,11.97
49,Kavaratti,3,IN,69,10.57,72.64,81.37,10.0
50,Haines Junction,0,CA,83,60.75,-137.51,-18.62,4.63
51,Sheregesh,100,RU,96,52.92,87.99,15.22,1.48
52,Kifri,40,IQ,78,34.7,44.97,45.25,10.83
53,Hilo,100,US,100,19.73,-155.09,69.73,5.99
54,Jamestown,90,US,80,42.1,-79.24,36.84,11.41
55,Kashgar,90,CN,79,39.45,75.98,24.8,4.47
56,Tuatapere,34,NZ,59,-46.13,167.68,63.0,1.99
57,Khovd,62,MN,91,48.01,91.64,-7.55,1.52
58,Fayaoue,100,NC,82,-20.65,166.53,79.5,19.82
59,Los Llanos de Aridane,0,ES,55,28.66,-17.92,62.28,4.7
60,Mandalgovi,58,MN,80,45.76,106.27,-2.24,5.32
61,Farafangana,61,MG,73,-22.82,47.83,81.46,9.06
62,Jeremie,1,HT,86,18.65,-74.12,68.4,2.3
63,Ozernovskiy,100,RU,92,51.5,156.52,25.11,21.05
64,Faanui,85,PF,78,-16.48,-151.75,80.49,18.77
65,Oshakati,43,NA,88,-17.78,15.68,71.6,4.7
66,Chokurdakh,99,RU,96,70.63,147.92,-18.08,1.59
67,Pevek,100,RU,98,69.7,170.31,-5.76,4.43
68,Aksarka,95,RU,94,66.56,67.8,5.79,6.76
69,Onega,100,RU,88,63.91,38.14,29.19,11.83
70,Sisimiut,100,GL,91,66.94,-53.67,-0.09,4.7
71,Cabo San Lucas,40,MX,53,22.89,-109.91,76.37,4.7
72,Jumla,100,NP,98,29.27,82.18,31.14,3.83
73,Kapaa,75,US,78,22.08,-159.32,78.93,21.92
74,Bethel,90,US,100,41.37,-73.41,39.16,2.24
75,Chui,0,UY,71,-33.7,-53.46,66.27,10.69
76,Ancud,90,CL,77,-41.87,-73.82,62.6,4.7
77,Provideniya,75,RU,73,64.38,-173.3,21.2,22.37
78,East London,43,ZA,84,-33.02,27.91,74.23,11.32
79,Camana,92,PE,87,-16.62,-72.71,62.98,4.5
80,Banjar,20,ID,88,-8.19,114.97,80.6,4.7
81,Ahipara,54,NZ,77,-35.17,173.17,75.99,4.0
82,Douglas,90,US,100,41.3,-96.17,33.15,6.93
83,Strathblane,75,GB,75,55.99,-4.31,43.16,32.21
84,Sept-Iles,90,CA,59,50.2,-66.38,4.51,8.05
85,Tuktoyaktuk,20,CA,63,69.45,-133.04,-7.6,13.87
86,Tezu,0,IN,56,27.92,96.17,52.93,2.68
87,Noumea,90,NC,69,-22.28,166.46,82.69,13.87
88,Broome,90,US,86,42.25,-75.83,37.67,3.36
89,Hobart,75,AU,63,-42.88,147.33,68.07,5.82
90,Djambala,26,CG,68,-2.54,14.75,72.34,2.01
91,Qaanaaq,0,GL,45,77.48,-69.36,-8.82,4.45
92,Lockhart,1,US,73,28.62,-81.44,75.36,8.05
93,Torbay,20,CA,66,47.67,-52.73,13.68,16.11
94,Camacha,40,PT,72,33.08,-16.33,62.6,10.29
95,Berlevag,75,NO,86,70.86,29.09,27.66,32.21
96,Nikolskoye,90,RU,80,59.7,30.79,36.21,8.95
97,Giehun,0,SL,73,7.88,-11.05,70.5,1.39
98,Saint George,0,US,32,37.1,-113.58,47.73,6.93
99,Saint-Philippe,66,RE,73,-21.36,55.77,74.14,8.05
100,Rocha,0,UY,75,-34.48,-54.33,62.29,9.89
101,Matara,45,LK,91,5.95,80.54,70.54,2.66
102,Flinders,82,AU,68,-34.58,150.86,75.09,1.12
103,San Patricio,5,MX,74,19.22,-104.7,84.2,6.93
104,Lagoa,100,PT,78,39.05,-27.98,62.67,35.79
105,Wewak,100,PG,86,-3.55,143.63,78.35,5.35
106,Pakxan,24,LA,81,18.38,103.66,63.79,2.51
107,Meulaboh,89,ID,76,4.14,96.13,81.32,4.36
108,Kathmandu,20,NP,93,27.72,85.32,42.8,3.36
109,Lawrenceburg,1,US,81,38.04,-84.9,43.59,3.36
110,Kefamenanu,100,ID,79,-9.45,124.48,76.01,0.81
111,Tiksi,99,RU,90,71.69,128.87,-15.25,4.54
112,Portland,90,US,86,45.52,-122.68,37.33,5.82
113,New Norfolk,75,AU,63,-42.78,147.06,68.07,5.82
114,Orlik,16,RU,81,52.52,99.83,-12.15,3.44
115,Bonthe,0,SL,79,7.53,-12.51,77.72,4.76
116,Oussouye,0,SN,53,12.48,-16.55,73.4,6.93
117,Khatanga,0,RU,89,71.97,102.5,-16.53,6.62
118,Puerto Escondido,5,MX,66,15.85,-97.07,86.0,9.17
119,Klaksvik,88,FO,81,62.23,-6.59,44.6,31.09
120,Tautira,75,PF,70,-17.73,-149.15,84.09,1.12
121,Sur,23,OM,68,22.57,59.53,61.59,2.24
122,Honiara,75,SB,66,-9.43,159.95,89.6,16.11
123,Sandpoint,90,US,73,48.28,-116.55,23.4,4.7
124,Castro,98,BR,86,-24.79,-50.01,67.01,7.72
125,Vung Tau,26,VN,75,10.35,107.08,72.07,3.94
126,Goundam,9,ML,22,16.41,-3.67,56.71,15.08
127,Asau,12,RO,100,46.43,26.4,27.79,3.36
128,San Quintin,0,MX,75,30.48,-115.95,58.37,14.72
129,Kirkuk,44,IQ,83,35.47,44.39,38.55,6.78
130,Lebu,11,CL,83,-37.62,-73.65,57.43,10.36
131,Belomorsk,99,RU,82,64.52,34.77,29.64,13.94
132,Mandapam,30,IN,72,9.28,79.12,76.71,12.84
133,Kiryat Gat,40,IL,93,31.61,34.76,49.68,3.36
134,Dhubri,0,IN,77,26.03,89.97,60.19,4.29
135,Kruisfontein,67,ZA,93,-34.0,24.73,67.03,3.09
136,Vestmannaeyjar,100,IS,57,63.44,-20.27,36.5,40.82
137,Karratha,65,AU,80,-20.74,116.85,84.96,17.0
138,Hermanus,29,ZA,83,-34.42,19.23,72.34,7.0
139,Nome,90,US,79,64.5,-165.41,24.8,14.99
140,Katsuura,20,JP,81,35.13,140.3,43.92,11.41
141,Keti Bandar,0,PK,46,24.14,67.45,63.61,10.69
142,Thompson,90,CA,77,55.74,-97.86,5.0,4.7
143,Gurh,0,IN,43,24.52,81.52,55.9,2.46
144,Bongaree,75,AU,61,-27.08,153.16,78.71,9.17
145,Avarua,50,CK,74,-21.21,-159.78,84.2,17.22
146,Shelburne,90,CA,95,44.08,-80.2,30.49,10.29
147,Qaqortoq,18,GL,46,60.72,-46.03,10.4,4.7
148,Grindavik,90,IS,67,63.84,-22.43,33.08,36.91
149,Ambanja,62,MG,87,-13.68,48.45,76.1,3.62
150,Popondetta,100,PG,75,-8.75,148.25,80.24,3.65
151,Puerto Ayora,90,EC,66,-0.74,-90.35,81.54,14.99
152,Mar del Plata,83,AR,77,-38.0,-57.56,67.03,16.11
153,Morro Bay,1,US,44,35.37,-120.85,57.31,12.75
